Date,Received,Sent
20221120,5014368171,154543114
20221119,618642218,16808775
20221118,7705247907,175266787
20221117,160078165,28543151
20221116,671244217,27700986
20221115,319133718,23412464
20221114,157703881,12971555
20221113,2123850981,62824119
20221112,1236787245,38081389
20221111,17958572626,463791903
20221110,1028636513,35755956
20221109,18115669440,402178684
20221108,562482611,28497371
20221107,189853722,14775348
20221106,256880886,29610584
20221104,2688438380,80615139
20221103,10200497065,231427562
20221102,1023475781,67677579
20221101,2307836176,72770469
20221031,51647723732,1404141630
20221030,3564498246,40258304
20221029,3283504705,1100227514
20221028,1199092486,865205208
20221027,2158841303,66331862
